mileage,make,model,fuel,gear,offerType,price,hp,year,mileage_bins
77820,Mazda,3,Gasoline,Manual,Used,8550.0,105.0,2013,under 100k
31000,Ford,Focus,Gasoline,Manual,Used,8679.0,125.0,2013,under 50k
46000,Volkswagen,Polo,Gasoline,Manual,Used,8699.0,69.0,2013,under 50k
50000,Ford,B-Max,Gasoline,Manual,Used,8699.0,101.0,2013,under 50k
75800,Peugeot,2008,Gasoline,Manual,Used,8700.0,82.0,2013,under 100k
122450,Suzuki,SX4,Diesel,Manual,Used,8700.0,135.0,2013,under 150k
54689,Opel,Astra,Gasoline,Manual,Used,8740.0,140.0,2013,under 100k
98000,Honda,Civic,Gasoline,Manual,Used,8790.0,99.0,2013,under 100k
55135,Honda,Jazz,Gasoline,Manual,Used,8800.0,99.0,2013,under 100k
53998,Hyundai,i20,Gasoline,Manual,Used,8880.0,86.0,2013,under 100k
76796,Peugeot,2008,Gasoline,Manual,Used,8885.0,120.0,2013,under 100k
84000,Skoda,Yeti,Diesel,Manual,Used,8888.0,110.0,2013,under 100k
48795,Skoda,Roomster,Gasoline,Automatic,Used,8899.0,105.0,2013,under 50k
85320,Opel,Astra,Gasoline,Manual,Used,8900.0,140.0,2013,under 100k
118070,Toyota,Yaris,Electric/Gasoline,Automatic,Used,8900.0,75.0,2013,under 150k
59100,Kia,Venga,Gasoline,Manual,Used,8900.0,90.0,2013,under 100k
85183,Opel,Astra,Gasoline,Manual,Used,8898.0,140.0,2014,under 100k
53795,Volkswagen,up!,Gasoline,Manual,Used,8900.0,60.0,2014,under 100k
74450,Citroen,DS3,Gasoline,Manual,Used,8900.0,156.0,2014,under 100k
167000,Volkswagen,Golf,Diesel,Manual,Used,8950.0,110.0,2014,under 200k
182150,Volkswagen,Golf,Gasoline,Manual,Used,8980.0,140.0,2014,under 200k
68067,Peugeot,308,Gasoline,Manual,Used,8985.0,125.0,2014,under 100k
49252,Ford,Focus,Gasoline,Manual,Used,8990.0,125.0,2014,under 50k
124800,Opel,Meriva,Gasoline,Automatic,Used,8990.0,140.0,2014,under 150k
91784,Ford,B-Max,Gasoline,Manual,Used,8990.0,101.0,2014,under 100k
82500,Renault,Captur,Diesel,Manual,Used,8990.0,90.0,2014,under 100k
98000,Hyundai,i40,Gasoline,Manual,Used,8990.0,135.0,2014,under 100k
34100,Kia,Picanto,Gasoline,Automatic,Used,8990.0,86.0,2014,under 50k
120500,Honda,Civic,-/- (Fuel),Manual,Used,8990.0,141.0,2014,under 150k
